refseq_id	string_id	groupid	cog_category	interacting protein	interacting protein cog 
EDK23076	411460.RUMTOR_02753	ENOG4105CDF	M	411460.RUMTOR_00853	ENOG4105EAG
EDK23076	411460.RUMTOR_02753	ENOG4105CDF	M	411460.RUMTOR_01255	ENOG4105C5T
EDK23076	411460.RUMTOR_02753	ENOG4105CDF	M	411460.RUMTOR_02407	ENOG4105C5T
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00005	ENOG4105C40
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00009	ENOG4105D59
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00195	ENOG4105CB9
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00196	ENOG4105K5M
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00201	ENOG4108YY1
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00205	ENOG4105C9W
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00510	ENOG4105CFG
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00551	ENOG4105CAV
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00584	ENOG41082DI
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00587	ENOG4105C8K
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00664	ENOG4105CX6
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00691	ENOG4108YZX
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00692	ENOG4105VJV
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00693	ENOG4108UUX
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00708	ENOG4105CA9
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00717	ENOG4105C17
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00755	ENOG4105C20
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00778	ENOG4105C22
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00783	ENOG4105CG1
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00883	ENOG4105ENI
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00912	ENOG4105C8A
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00934	ENOG4105VCC
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01026	ENOG4105CAV
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01046	ENOG4105VB9
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01084	ENOG4105KK9
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01086	ENOG4105K46
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01087	ENOG4105C9R
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01128	ENOG4105K77
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01133	ENOG4107EEM
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01134	ENOG4105VHM
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01142	ENOG4105KQV
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01264	ENOG4105KBC
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01265	ENOG4108VZM
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01654	ENOG4105DHW
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01657	ENOG4105VG0
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01827	ENOG4105CWT
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01896	ENOG4105CJ9
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01902	ENOG4105C3G
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02047	ENOG4108VCV
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02325	ENOG4105CEJ
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02409	ENOG4105CCP
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02411	ENOG4108ZBM
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02414	ENOG41067VY
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02470	ENOG4108ZT0
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02473	ENOG4105G6W
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02474	N/A
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02475	ENOG4108Z04
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02477	ENOG4105K9U
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02479	ENOG4105CGG
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02480	ENOG4108UZ0
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02481	ENOG4105VPB
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02482	ENOG4108RA9
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02483	ENOG4105K4C
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02484	ENOG4108R5J
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02485	ENOG4108UJY
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02488	ENOG41082QR
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02489	ENOG4105CW6
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02490	ENOG4105KAR
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02491	ENOG4108UNN
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02492	ENOG4105K87
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02493	ENOG41082SA
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02494	ENOG4108R70
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02495	ENOG4105CKE
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02496	ENOG4105KAP
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02497	ENOG4105K7S
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02498	ENOG4105CFD
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02499	ENOG41080UE
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02500	ENOG4106U5A
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02501	ENOG4105EEE
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02502	ENOG4108Z10
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02522	ENOG4105CGV
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02523	ENOG4105CEJ
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02524	ENOG4108UHY
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02526	ENOG4108UKE
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02529	ENOG4105C90
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02559	ENOG4108UJD
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02585	ENOG4105K9Q
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02589	N/A
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02591	ENOG4108ZDX
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02739	ENOG4105CE9
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02743	ENOG4105WDJ
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02746	ENOG4108UIK
EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02747	ENOG4105C64
EDK23430	411460.RUMTOR_02425	ENOG4107QM1	E	411460.RUMTOR_01496	ENOG4108RMZ
EDK23430	411460.RUMTOR_02425	ENOG4107QM1	E	411460.RUMTOR_01882	ENOG4107QID
EDK23430	411460.RUMTOR_02425	ENOG4107QM1	E	411460.RUMTOR_02424	ENOG4108JQ1
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00098	ENOG4108UYS
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00181	ENOG4107XA4
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00219	ENOG4108HRN
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00254	ENOG4105NZF
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00354	ENOG4105ESP
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00386	ENOG4108IQ3
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00387	ENOG4105ETZ
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00388	ENOG4105F3R
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00390	ENOG4105WKA
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00391	ENOG4105E70
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00404	ENOG41080XE
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00408	ENOG4108UHU
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00560	ENOG4105ETE
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00562	ENOG4105T19
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00563	ENOG4105ETZ
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00564	ENOG4105F3R
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00565	ENOG4105XHR
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00639	ENOG4105BZ3
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00757	ENOG4105C83
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00770	ENOG4108U9C
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00776	ENOG4107TRE
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00805	ENOG4105CPQ
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00807	ENOG4105UP7
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00808	ENOG4105CPQ
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00809	ENOG4105DKQ
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_00862	ENOG41064KY
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01065	ENOG4108ZC8
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01114	ENOG4105CPE
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01195	ENOG4105CHR
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01198	ENOG4108QR2
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01211	ENOG4107APH
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01242	ENOG4105DM4
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01243	ENOG4105DE4
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01245	ENOG4105CHR
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01255	ENOG4105C5T
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01268	ENOG4105E2D
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01424	ENOG4105FCI
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01462	ENOG4107QSU
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01483	ENOG4105C46
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01594	ENOG4105RYY
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01610	ENOG4105MN5
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01618	ENOG4107X84
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01622	ENOG41083AK
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01642	ENOG4105EBU
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01685	ENOG4105D2F
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01738	ENOG4105C5Y
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01798	ENOG4108ZB6
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01855	ENOG4105C5Y
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01917	ENOG4105DJV
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01929	ENOG4105MN5
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01930	ENOG4108UPS
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01939	ENOG4108YZG
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_01980	ENOG4105CHR
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_02135	ENOG4108QF7
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_02144	ENOG4105CPQ
EDK24155	411460.RUMTOR_01612	ENOG4108KPW	G	411460.RUMTOR_02229	ENOG4107QYV
