ncbi taxid	refseq id	string_id	groupid	cog_category	interacting protein	interacting protein cog
411460	EDK23076	411460.RUMTOR_02753	ENOG4105CDF	M	411460.RUMTOR_00853	N/A
411460	EDK23076	411460.RUMTOR_02753	ENOG4105CDF	M	411460.RUMTOR_01255	N/A
411460	EDK23076	411460.RUMTOR_02753	ENOG4105CDF	M	411460.RUMTOR_02407	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02470	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02522	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00783	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02409	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02585	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02474	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02483	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01026	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02475	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02747	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00195	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01657	ENOG4105VG0
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01128	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00883	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02485	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00551	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01896	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00584	ENOG41082DI
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02495	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00778	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00934	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02526	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00587	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00005	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00201	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02500	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02480	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02496	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02477	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01087	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01654	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00691	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01134	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02498	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00693	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02473	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02493	ENOG41082SA
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01086	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02502	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02501	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02479	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01264	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02411	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00755	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01827	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_02489	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00205	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_00009	N/A
411460	EDK23280	411460.RUMTOR_02560	ENOG4108UM5	J	411460.RUMTOR_01084	N/A
